season,alpha,cost_baseline_usd,cost_optimized_usd,cost_savings_usd,cost_savings_pct,cost_savings_annualized_usd,carbon_baseline_lbs,carbon_optimized_lbs,carbon_savings_lbs,carbon_savings_pct,carbon_savings_tons,carbon_savings_annualized_tons
winter,0.4,6608414.401934941,6368683.198616937,239731.2033180045,3.6276660139202423,12466022.572536234,79954281.94007781,79761354.06344436,192927.8766334504,0.24129774159943213,96.46393831672519,5016.12479246971
winter,0.5,6608414.401934941,6367312.165135076,241102.23679986503,3.6484127982238883,12537316.313592982,79954281.94007781,79775880.64956789,178401.2905099243,0.22312912602182852,89.20064525496214,4638.433553258032
winter,0.6,6608414.401934941,6367312.128242671,241102.27369227074,3.648413356487996,12537318.231998079,79954281.94007781,79775880.73003548,178401.21004232764,0.22312902537981824,89.20060502116382,4638.431461100519
winter,0.7,6608414.401934941,6367065.572598286,241348.82933665533,3.6521442914655666,12550139.125506077,79954281.94007781,79781110.06251848,173171.87755933404,0.21658862209420965,86.58593877966702,4502.468816542685
winter,0.8,6608414.401934941,6367065.570584368,241348.83135057334,3.652144321940623,12550139.230229814,79954281.94007781,79781110.06172276,173171.87835505605,0.2165886230894309,86.58593917752802,4502.468837231457
winter,0.9,6608414.401934941,6367036.644768008,241377.75716693327,3.6525820338424593,12551643.37268053,79954281.94007781,79783225.15224,171056.78783781826,0.21394324817527313,85.52839391890913,4447.4764837832745
winter,1.0,6608414.401934941,6367036.648281163,241377.7536537787,3.6525819806806212,12551643.189996492,79954281.94007781,79783225.16017455,171056.77990326285,0.21394323825140762,85.52838995163142,4447.476277484834
shoulder,0.0,2027106.9201054596,1899824.2186361062,127282.7014693534,6.27903245788,6618700.476406377,48534959.89109518,42876547.18703974,5658412.704055436,11.658426661425136,2829.206352027718,147118.73030544134
shoulder,0.1,2027106.9201054596,1899824.2190469964,127282.7010584632,6.279032437610215,6618700.455040086,48534959.89109518,42876547.197359666,5658412.69373551,11.658426640162265,2829.206346867755,147118.73003712326
shoulder,0.2,2027106.9201054596,1880868.9874937753,146237.93261168431,7.214120338757283,7604372.495807584,48534959.89109518,42971489.80756787,5563470.083527304,11.462809686071353,2781.735041763652,144650.2221717099
shoulder,0.3,2027106.9201054596,1841647.4153474546,185459.50475800503,9.148974971105941,9643894.247416262,48534959.89109518,43317001.8745565,5217958.01653868,10.750926812851926,2608.97900826934,135666.90843000566
shoulder,0.4,2027106.9201054596,1837961.986944681,189144.9331607786,9.33078227323788,9835536.524360487,48534959.89109518,43365027.52403852,5169932.367056653,10.65197618099854,2584.9661835283264,134418.24154347298
shoulder,0.5,2027106.9201054596,1825453.460413751,201653.45969170867,9.94784526122666,10485979.903968852,48534959.89109518,43630508.60924171,4904451.281853467,10.104986782431231,2452.225640926734,127515.73332819017
shoulder,0.6,2027106.9201054596,1824974.5550206448,202132.36508481484,9.97147032946338,10510882.984410372,48534959.89109518,43644252.205703706,4890707.685391471,10.076669881597617,2445.3538426957352,127158.39982017824
shoulder,0.7,2027106.9201054596,1824974.5549705373,202132.36513492232,9.971470331935253,10510882.98701596,48534959.89109518,43644252.2065303,4890707.684564874,10.076669879894519,2445.3538422824367,127158.3997986867
shoulder,0.8,2027106.9201054596,1824974.5551516686,202132.36495379102,9.971470322999792,10510882.977597132,48534959.89109518,43644252.20868848,4890707.682406694,10.07666987544787,2445.3538412033467,127158.39974257402
shoulder,0.9,2027106.9201054596,1824699.739265378,202407.18084008154,9.985027372387016,10525173.40368424,48534959.89109518,43683947.79367967,4851012.097415507,9.994882262806884,2425.5060487077535,126126.31453280318
shoulder,1.0,2027106.9201054596,1824551.0939521934,202555.82615326624,9.992360252153267,10532902.959969845,48534959.89109518,43749892.519918434,4785067.371176742,9.859011693660985,2392.533685588371,124411.7516505953
