scenario,season,alpha,cost_baseline_usd,cost_optimized_usd,cost_savings_usd,cost_savings_pct,cost_savings_annualized_usd,carbon_baseline_lbs,carbon_optimized_lbs,carbon_savings_lbs,carbon_savings_pct,carbon_savings_tons,carbon_savings_annualized_tons,battery_enabled,battery_capacity_mwh,battery_power_mw,battery_duration_hours,battery_capex_usd,battery_annualized_capex_usd,battery_fixed_om_usd_per_year,battery_annual_ownership_cost_usd,battery_weekly_ownership_cost_usd,battery_throughput_mwh,battery_degradation_cost_usd,cost_savings_usd_battery_off,carbon_savings_tons_battery_off,incremental_bess_savings_usd,incremental_bess_carbon_tons,net_incremental_bess_value_usd,net_incremental_bess_value_annual_usd,bess_should_be_included
battery_off,summer,0.0,3971077.0424749875,4005288.816405003,-34211.77393001551,-0.8615238023358243,-1779012.2443608064,79021141.44748993,78587514.47237569,433626.97511424124,0.5487480529528788,216.81348755712062,11274.301352970273,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34211.77393001551,216.81348755712062,0.0,0.0,0.0,0.0,BASELINE
battery_off,summer,0.1,3971077.0424749875,3887154.59128395,83922.45119103743,2.1133423072228403,4363967.461933946,79021141.44748993,78594384.15477553,426757.2927144021,0.5400545789356701,213.37864635720103,11095.689610574454,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83922.45119103743,213.37864635720103,0.0,0.0,0.0,0.0,BASELINE
battery_off,summer,0.2,3971077.0424749875,3810709.2324733017,160367.81000168575,4.038395837864076,8339126.120087659,79021141.44748993,78693005.12297069,328136.3245192468,0.4152513093439628,164.06816225962342,8531.544437500417,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160367.81000168575,164.06816225962342,0.0,0.0,0.0,0.0,BASELINE
battery_off,summer,0.3,3971077.0424749875,3736888.2538817697,234188.78859321773,5.89736200250748,12177817.006847322,79021141.44748993,78746515.54293118,274625.904558748,0.3475347223897528,137.312952279374,7140.273518527448,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234188.78859321773,137.312952279374,0.0,0.0,0.0,0.0,BASELINE
battery_off,summer,0.4,3971077.0424749875,3684857.0624564877,286219.9800184998,7.207615892541642,14883438.960961988,79021141.44748993,78812623.66190715,208517.78558278084,0.2638759473265041,104.25889279139042,5421.462425152302,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286219.9800184998,104.25889279139042,0.0,0.0,0.0,0.0,BASELINE
battery_off,summer,0.5,3971077.0424749875,3668750.687042973,302326.35543201445,7.6132080087670255,15720970.482464751,79021141.44748993,78863848.11274531,157293.33474461734,0.1990522180056584,78.64666737230867,4089.6267033600507,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302326.35543201445,78.64666737230867,0.0,0.0,0.0,0.0,BASELINE
battery_off,summer,0.6,3971077.0424749875,3631280.470608746,339796.5718662413,8.556786187519089,17669421.737044547,79021141.44748993,78908181.53614894,112959.91134099662,0.1429489745045751,56.47995567049831,2936.9576948659123,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339796.5718662413,56.47995567049831,0.0,0.0,0.0,0.0,BASELINE
battery_off,summer,0.7,3971077.0424749875,3593295.840085175,377781.20238981256,9.51331838564278,19644622.52427025,79021141.44748993,78880342.71410452,140798.73338541389,0.17817856184597836,70.39936669270695,3660.767068020761,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377781.20238981256,70.39936669270695,0.0,0.0,0.0,0.0,BASELINE
battery_off,summer,0.8,3971077.0424749875,3572223.2025913866,398853.8398836008,10.043971336174677,20740399.673947245,79021141.44748993,78920820.06116067,100321.38632926345,0.1269551217453973,50.160693164631724,2608.3560445608496,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398853.8398836008,50.160693164631724,0.0,0.0,0.0,0.0,BASELINE
battery_off,summer,0.9,3971077.0424749875,3551796.020697175,419281.0217778124,10.558370368873378,21802613.132446244,79021141.44748993,78949795.24389286,71346.20359706879,0.09028748799392984,35.6731017985344,1855.0012935237887,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419281.0217778124,35.6731017985344,0.0,0.0,0.0,0.0,BASELINE
