scenario,season,alpha,cost_baseline_usd,cost_optimized_usd,cost_savings_usd,cost_savings_pct,cost_savings_annualized_usd,carbon_baseline_lbs,carbon_optimized_lbs,carbon_savings_lbs,carbon_savings_pct,carbon_savings_tons,carbon_savings_annualized_tons,battery_enabled,battery_capacity_mwh,battery_power_mw,battery_duration_hours,battery_capex_usd,battery_annualized_capex_usd,battery_fixed_om_usd_per_year,battery_annual_ownership_cost_usd,battery_weekly_ownership_cost_usd,battery_throughput_mwh,battery_degradation_cost_usd,cost_savings_usd_battery_off,carbon_savings_tons_battery_off,incremental_bess_savings_usd,incremental_bess_carbon_tons,net_incremental_bess_value_usd,net_incremental_bess_value_annual_usd,bess_should_be_included
battery_off,summer,0.0,3967829.317454759,3995058.6590586794,-27229.34160392033,-0.6862528457092786,-1415925.7634038571,78997553.16588843,78568122.01499459,429431.1508938372,0.543600572022866,214.71557544691862,11165.209923239769,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27229.34160392033,214.71557544691862,0.0,0.0,0.0,0.0,BASELINE
battery_off,summer,0.5,3967829.317454759,3665155.707592652,302673.60986210685,7.6281912765406625,15739027.712829556,78997553.16588843,78847521.86058746,150031.3053009659,0.18991892696462684,75.01565265048295,3900.8139378251135,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302673.60986210685,75.01565265048295,0.0,0.0,0.0,0.0,BASELINE
battery_off,summer,1.0,3967829.317454759,3546709.297451897,421120.020002862,10.613360260995238,21898241.040148824,78997553.16588843,78957437.47465363,40115.69123479724,0.05078092880998169,20.05784561739862,1043.0079721047282,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421120.020002862,20.05784561739862,0.0,0.0,0.0,0.0,BASELINE
battery_off,winter,0.0,6545431.761824829,6571811.768505565,-26380.00668073632,-0.403029282721935,-1371760.3473982885,79936160.06758304,79844505.23751646,91654.8300665766,0.11466003619524114,45.8274150332883,2383.0255817309912,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26380.00668073632,45.8274150332883,0.0,0.0,0.0,0.0,BASELINE
battery_off,winter,0.5,6545431.761824829,6510641.467671061,34790.29415376764,0.5315202330375881,1809095.2959959172,79936160.06758304,79861762.52667578,74397.54090726376,0.09307119687055697,37.19877045363188,1934.3360635888578,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34790.29415376764,37.19877045363188,0.0,0.0,0.0,0.0,BASELINE
battery_off,winter,1.0,6545431.761824829,6489894.451254703,55537.31057012547,0.8484896427159755,2887940.1496465243,79936160.06758304,79859584.56305476,76575.50452828407,0.09579582564829527,38.287752264142036,1990.9631177353858,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55537.31057012547,38.287752264142036,0.0,0.0,0.0,0.0,BASELINE
battery_off,shoulder,0.0,1964987.2965997425,1917309.832731485,47677.46386825759,2.4263497250470643,2479228.1211493947,44362586.61899865,43257242.6226439,1105343.9963547438,2.491613047381171,552.671998177372,28738.943905223343,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47677.46386825759,552.671998177372,0.0,0.0,0.0,0.0,BASELINE
battery_off,shoulder,0.5,1964987.2965997425,1886118.4019987579,78868.89460098464,4.0137101515852605,4101182.5192512013,44362586.61899865,43505920.45071655,856666.1682820991,1.9310554987233874,428.33308414104954,22273.320375334577,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78868.89460098464,428.33308414104954,0.0,0.0,0.0,0.0,BASELINE
battery_off,shoulder,1.0,1964987.2965997425,1862816.1767277033,102171.11987203918,5.19958169952744,5312898.233346038,44362586.61899865,43867908.398494765,494678.2205038816,1.115079751215479,247.33911025194078,12861.63373310092,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102171.11987203918,247.33911025194078,0.0,0.0,0.0,0.0,BASELINE
bess_50mw_100mwh,summer,0.0,3967829.317454759,3995058.698709301,-27229.381254542153,-0.6862538450118859,-1415927.825236192,78997553.16588843,78568121.94799542,429431.2178930044,0.5436006568345653,214.71560894650221,11165.211665218116,True,100.0,50.0,2.0,42700000.0,4688230.474732977,1067500.0,5755730.474732977,110687.12451409572,0.00010572625885001614,0.0005286312942500807,-27229.34160392033,214.71557544691862,-0.0396506218239665,3.3499583594220894e-05,-110687.16469334884,-5755732.56405414,NO
