scenario,season,alpha,total_cost_norm_baseline,total_cost_norm_optimized,total_carbon_norm_baseline,total_carbon_norm_optimized,objective_norm_baseline,objective_norm_optimized,objective_norm_savings,solver_status
bess_100mw_200mwh,summer,1.0,27991.795422817697,24364.32689019951,74921.44023768387,74785.8213488863,27991.795422817697,24364.32689019951,3627.468532618186,optimal
bess_100mw_200mwh,winter,0.0,71880.68079614085,72193.61215521648,80944.52456479322,80850.3849044402,80944.52456479322,80850.3849044402,94.13966035301564,optimal
bess_100mw_200mwh,winter,0.1,71880.68079614085,71719.40128959174,80944.52456479322,80844.59331304763,80038.14018792797,79932.07411070204,106.0660772259289,optimal
bess_100mw_200mwh,winter,0.2,71880.68079614085,71641.53402145469,80944.52456479322,80858.79266614698,79131.75581106274,79015.34093720853,116.41487385421351,optimal
bess_100mw_200mwh,winter,0.3,71880.68079614085,71599.40039758704,80944.52456479322,80864.64962537486,78225.3714341975,78085.0748570385,140.2965771589952,optimal
bess_100mw_200mwh,winter,0.4,71880.68079614085,71559.94044722905,80944.52456479322,80856.06354772483,77318.98705733227,77137.61430752653,181.37274980574148,optimal
bess_100mw_200mwh,winter,0.5,71880.68079614085,71377.93640573708,80944.52456479322,80714.94873532244,76412.60268046704,76046.44257052976,366.1601099372783,optimal
bess_100mw_200mwh,winter,0.6,71880.68079614085,71329.29453935052,80944.52456479322,80714.61232475328,75506.2183036018,75083.42165351163,422.79665009016753,optimal
bess_100mw_200mwh,winter,0.7,71880.68079614085,71323.40756360002,80944.52456479322,80715.67929147027,74599.83392673657,74141.0890819611,458.7448447754723,optimal
bess_100mw_200mwh,winter,0.8,71880.68079614085,71267.44662410623,80944.52456479322,80724.96017902481,73693.44954987132,73158.94933508994,534.5002147813793,optimal
bess_100mw_200mwh,winter,0.9,71880.68079614085,71195.41586207751,80944.52456479322,80748.23442786076,72787.06517300609,72150.69771865584,636.3674543502566,optimal
bess_100mw_200mwh,winter,1.0,71880.68079614085,71030.26778287278,80944.52456479322,80767.07540293265,71880.68079614085,71030.26778287278,850.413013268073,optimal
bess_100mw_200mwh,shoulder,0.0,43640.85175085891,42534.02090190657,41368.62068201877,40298.58681488737,41368.62068201877,40298.58681488737,1070.033867131402,optimal
bess_100mw_200mwh,shoulder,0.1,43640.85175085891,42460.68425473546,41368.62068201877,40290.629005777664,41595.84378890279,40507.634530673444,1088.209258229348,optimal
bess_100mw_200mwh,shoulder,0.2,43640.85175085891,42306.91035054608,41368.62068201877,40353.73879043494,41823.066895786804,40744.37310245717,1078.6937933296358,optimal
bess_100mw_200mwh,shoulder,0.3,43640.85175085891,42180.25121388039,41368.62068201877,40370.473191215424,42050.29000267081,40913.40659801491,1136.8834046558986,optimal
bess_100mw_200mwh,shoulder,0.4,43640.85175085891,42080.158856319555,41368.62068201877,40416.87565537992,42277.51310955483,41082.188935755774,1195.3241737990538,optimal
